company_name,rating,bio,salary,job,founded_in
HCL Group,3.5,IT Services & Consulting | Jaipur +97 other locations,3.7L,165,
Piramal Finance,4.2,NBFC | Jaipur +424 other locations,12.7k,5,10k-50k
Virtusa Consulting Services,3.7,IT Services & Consulting | Jaipur +55 other locations,56.3k,1.3k,1996 (30 yrs old)
DMart,3.9,Retail | Jaipur +246 other locations,18.5k,177,2002 (24 yrs old)
HSBC Group,3.9,Financial Services | Jaipur +63 other locations,42.6k,130,1865 (161 yrs old)
Indiamart Intermesh,3.5,Internet | Jaipur +173 other locations,20k,532,1996 (30 yrs old)
Udaan,3.9,Internet | Jaipur +368 other locations,15.6k,5,
SMFG India Credit,3.9,NBFC | Jaipur +592 other locations,11k,81,2007 (19 yrs old)
Aurobindo Pharma,4.0,Pharma | Jaipur +115 other locations,20.7k,23,1986 (40 yrs old)
Siemens,3.9,Industrial Automation | Jaipur +152 other locations,33.5k,134,
BigBasket,3.9,Internet | Jaipur +138 other locations,19.1k,104,
Manappuram Finance,3.9,NBFC | Jaipur +647 other locations,9.1k,6,1949 (77 yrs old)
Firstsource Solutions,3.5,BPO | Jaipur +74 other locations,24k,139,2001 (25 yrs old)
Shapoorji Pallonji Group,4.1,Engineering & Construction | Jaipur +188 other locations,,,
Tata Capital,4.0,NBFC | Jaipur +438 other locations,15.7k,3.1k,2007 (19 yrs old)
GlobalLogic,3.5,IT Services & Consulting | Jaipur +60 other locations,40.5k,46,2000 (26 yrs old)
ICICI Lombard General Insurance Company,3.5,Insurance | Jaipur +311 other locations,,,
Standard Chartered,3.6,Banking | Jaipur +68 other locations,42k,,1853 (173 yrs old)
Mahindra Finance,3.9,NBFC | Jaipur +730 other locations,12k,390,1991 (35 yrs old)
PolicyBazaar,3.7,Internet | Jaipur +149 other locations,17.1k,434,
Bosch Global Software Technologies,3.7,IT Services & Consulting | Jaipur +47 other locations,39.9k,14,1997 (29 yrs old)
Apollo Hospitals,4.1,Healthcare | Jaipur +229 other locations,16.4k,168,1983 (43 yrs old)
Ashok Leyland,4.0,Automobile | Jaipur +259 other locations,18.7k,,1948 (78 yrs old)
Citicorp,3.7,Financial Services | Jaipur +68 other locations,51.9k,,1997 (29 yrs old)
Swiggy,3.7,Internet | Jaipur +230 other locations,22.8k,281,2014 (12 yrs old)
Hero MotoCorp,4.1,Automobile | Jaipur +365 other locations,15.7k,,1984 (42 yrs old)
Cyient,3.6,IT Services & Consulting | Jaipur +48 other locations,27.3k,78,1991 (35 yrs old)
SBI Cards & Payment Services,3.6,Financial Services | Jaipur +435 other locations,,,
Kalpataru Projects International,4.2,Engineering & Construction | Jaipur +321 other locations,13.6k,1,1981 (45 yrs old)
JustDial,3.5,Internet | Jaipur +229 other locations,15.4k,53,1996 (30 yrs old)
IQVIA,3.7,Clinical Research | Jaipur +63 other locations,30.6k,20,10k-50k
NTT Data,3.8,IT Services & Consulting | Jaipur +79 other locations,35.7k,181,1988 (38 yrs old)
NTT Data,3.8,IT Services & Consulting | Jaipur +81 other locations,35.7k,181,1988 (38 yrs old)
SBI Life Insurance Company,3.7,Insurance | Jaipur +655 other locations,11.7k,6,2001 (25 yrs old)
CBRE,4.1,Real Estate | Jaipur +91 other locations,18.7k,19,1906 (120 yrs old)
TVS Motor,3.9,Automobile | Jaipur +349 other locations,15.8k,64,1979 (47 yrs old)
Schneider Electric,4.2,Industrial Automation | Jaipur +119 other locations,24.4k,24,1999 (27 yrs old)
Persistent Systems,3.6,IT Services & Consulting | Jaipur +41 other locations,44.4k,235,
State Bank of India,3.8,Banking | Jaipur +618 other locations,11.6k,10,1806 (220 yrs old)
