company_name,rating,bio,salary,job,founded_in
BigBasket,3.9,Internet | Mumbai +138 other locations,19.1k,104,
Manappuram Finance,3.9,NBFC | Mumbai +649 other locations,9.1k,6,1949 (77 yrs old)
Firstsource Solutions,3.5,BPO | Mumbai +74 other locations,24k,139,2001 (25 yrs old)
Shapoorji Pallonji Group,4.1,Engineering & Construction | Mumbai +188 other locations,,,
Tata Capital,4.0,NBFC | Mumbai +438 other locations,15.7k,3.1k,2007 (19 yrs old)
GlobalLogic,3.5,IT Services & Consulting | Mumbai +60 other locations,40.5k,46,2000 (26 yrs old)
ICICI Lombard General Insurance Company,3.5,Insurance | Mumbai +311 other locations,,,
Standard Chartered,3.6,Banking | Mumbai +68 other locations,42k,,1853 (173 yrs old)
Mahindra Finance,3.9,NBFC | Mumbai +730 other locations,12k,390,1991 (35 yrs old)
PolicyBazaar,3.7,Internet | Mumbai +149 other locations,17.1k,434,
Bosch Global Software Technologies,3.7,IT Services & Consulting | Mumbai +47 other locations,39.9k,14,1997 (29 yrs old)
Apollo Hospitals,4.1,Healthcare | Mumbai +229 other locations,16.4k,168,1983 (43 yrs old)
UST,3.7,IT Services & Consulting | Mumbai +50 other locations,39.4k,142,
Ashok Leyland,4.0,Automobile | Mumbai +259 other locations,18.7k,,1948 (78 yrs old)
Citicorp,3.7,Financial Services | Mumbai +68 other locations,51.9k,,1997 (29 yrs old)
Swiggy,3.7,Internet | Mumbai +230 other locations,22.8k,281,2014 (12 yrs old)
Hero MotoCorp,4.1,Automobile | Mumbai +366 other locations,15.7k,,1984 (42 yrs old)
Cyient,3.6,IT Services & Consulting | Mumbai +48 other locations,27.3k,78,1991 (35 yrs old)
CGI Group,4.0,IT Services & Consulting | Mumbai +43 other locations,45.2k,655,1976 (50 yrs old)
SBI Cards & Payment Services,3.6,Financial Services | Mumbai +436 other locations,,,
Kalpataru Projects International,4.2,Engineering & Construction | Mumbai +321 other locations,13.6k,1,1981 (45 yrs old)
JustDial,3.5,Internet | Mumbai +229 other locations,15.4k,53,1996 (30 yrs old)
BNY,3.7,Financial Services | Mumbai +25 other locations,30.6k,1,1784 (242 yrs old)
IQVIA,3.7,Clinical Research | Mumbai +64 other locations,30.6k,20,10k-50k
Nagarjuna Construction Company,4.0,Engineering & Construction | Mumbai +295 other locations,12k,11,1998 (28 yrs old)
NTT Data,3.8,IT Services & Consulting | Mumbai +81 other locations,35.7k,181,1988 (38 yrs old)
SBI Life Insurance Company,3.7,Insurance | Mumbai +655 other locations,11.7k,6,2001 (25 yrs old)
CBRE,4.1,Real Estate | Mumbai +91 other locations,18.7k,19,1906 (120 yrs old)
TVS Motor,3.9,Automobile | Mumbai +349 other locations,15.8k,64,1979 (47 yrs old)
Schneider Electric,4.2,Industrial Automation | Mumbai +119 other locations,24.4k,24,1999 (27 yrs old)
Persistent Systems,3.6,IT Services & Consulting | Mumbai +41 other locations,44.4k,235,
State Bank of India,3.8,Banking | Mumbai +618 other locations,11.6k,10,1806 (220 yrs old)
vivo,4.1,Consumer Electronics & Appliances | Mumbai +414 other locations,12.9k,11,2009 (17 yrs old)
Atos,3.8,IT Services & Consulting | Mumbai +49 other locations,34.1k,91,2000 (26 yrs old)
Ecom Express,4.0,Logistics | Mumbai +775 other locations,9.5k,,2012 (14 yrs old)
Eviden,3.6,IT Services & Consulting | Mumbai +39 other locations,28k,8,1k-5k
KEC International,4.0,Engineering & Construction | Mumbai +313 other locations,13.3k,6,1945 (81 yrs old)
Amdocs,3.6,Software Product | Mumbai +23 other locations,37.4k,11,1982 (44 yrs old)
JBM Group,3.9,Auto Components | Mumbai +117 other locations,13.9k,45,
Nagarro,3.9,IT Services & Consulting | Mumbai +49 other locations,32k,945,1996 (30 yrs old)
Varun Beverages,4.0,Beverage | Mumbai +379 other locations,12k,41,1995 (31 yrs old)
ITC Infotech,3.7,IT Services & Consulting | Mumbai +67 other locations,29.5k,78,2000 (26 yrs old)
Home Credit Finance,4.0,NBFC | Mumbai +136 other locations,9.4k,96,2012 (14 yrs old)
Bosch,4.1,Auto Components | Mumbai +130 other locations,20.7k,,1886 (140 yrs old)
Randstad,3.7,Recruitment | Mumbai +352 other locations,16.4k,8,1992 (34 yrs old)
EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting | Mumbai +56 other locations,,,
Hewlett Packard Enterprise,4.1,IT Services & Consulting | Mumbai +103 other locations,27.1k,220,2015 (11 yrs old)
Utkarsh Small Finance Bank,3.6,Banking | Mumbai +407 other locations,10.8k,26,2009 (17 yrs old)
Aditya Birla Fashion and Retail,4.1,Fashion & Textile | Mumbai +291 other locations,13.1k,76,
Mahindra Logistics,3.7,Logistics | Mumbai +233 other locations,2.8L,383,1986 (40 yrs old)
L&T Finance,3.9,NBFC | Mumbai +634 other locations,,,
OPPO,3.9,Consumer Electronics & Appliances | Mumbai +410 other locations,11.8k,10,2004 (22 yrs old)
Dell,3.8,Consumer Electronics & Appliances | Mumbai +117 other locations,28.7k,16,1984 (42 yrs old)
CARS24,3.4,Internet | Mumbai +173 other locations,,,
Havells,3.9,Electrical Equipment | Mumbai +260 other locations,15.5k,34,1983 (43 yrs old)
Intas Pharmaceuticals,4.1,Pharma | Mumbai +148 other locations,17.3k,54,1977 (49 yrs old)
R1 RCM,3.8,BPO | Mumbai +46 other locations,21.1k,163,2007 (19 yrs old)
Tata AIA Life Insurance,3.9,Insurance | Mumbai +442 other locations,14.1k,680,2001 (25 yrs old)
Hyundai Motor India Limited,4.1,Automobile | Mumbai +287 other locations,13.8k,3,1967 (59 yrs old)
Deutsche Bank,3.8,Banking | Mumbai +42 other locations,36k,391,1870 (156 yrs old)
Hetero,3.9,Pharma | Mumbai +67 other locations,15k,141,
Motilal Oswal Financial Services,3.7,Financial Services | Mumbai +168 other locations,12.9k,45,
Team Lease,3.9,Recruitment | Mumbai +397 other locations,16k,,2016 (10 yrs old)
Berger Paints,3.7,Chemicals | Mumbai +353 other locations,10k,131,
VE Commercial Vehicles,3.9,Automobile | Mumbai +179 other locations,14.1k,8,2008 (18 yrs old)
Lenskart,3.3,Internet | Mumbai +240 other locations,13.2k,126,
Thermax Limited,4.2,Industrial Machinery | Mumbai +251 other locations,,,
Bajaj Auto,3.8,Automobile | Mumbai +317 other locations,14.5k,,1945 (81 yrs old)
Macleods Pharmaceuticals,3.7,Pharma | Mumbai +133 other locations,15.5k,10,1986 (40 yrs old)
Aakash Educational Services,3.2,Education & Training | Mumbai +244 other locations,13.6k,71,1988 (38 yrs old)
Kogta Financial India Limited,4.7,NBFC | Mumbai +259 other locations,1.9k,115,1996 (30 yrs old)
Jubilant Foods Works,3.7,Hospitality | Mumbai +261 other locations,9.2k,192,1995 (31 yrs old)
LG Electronics,3.9,Consumer Electronics & Appliances | Mumbai +298 other locations,11k,,1958 (68 yrs old)
Royal Enfield,4.2,Automobile | Mumbai +372 other locations,14.8k,20,1901 (125 yrs old)
Hindalco Industries,4.2,Metals & Mining | Mumbai +127 other locations,12.4k,4,1958 (68 yrs old)
Jindal Steel Limited,3.9,Iron & Steel | Mumbai +172 other locations,15.4k,31,1979 (47 yrs old)
John Deere,4.0,Industrial Machinery | Mumbai +155 other locations,15.2k,1,2001 (25 yrs old)
Tata Communications,3.9,Telecom | Mumbai +102 other locations,23.5k,33,1986 (40 yrs old)
HDFC Ergo General Insurance,4.0,Insurance | Mumbai +324 other locations,12k,10,2002 (24 yrs old)
DCB Bank,3.8,Banking | Mumbai +341 other locations,9.5k,11,
State Street Corporation,3.5,Financial Services | Mumbai +34 other locations,31.4k,8,1792 (234 yrs old)
RBL Bank,3.5,Banking | Mumbai +284 other locations,18.3k,53,1943 (83 yrs old)
Cummins,4.3,Industrial Machinery | Mumbai +114 other locations,15.5k,8,1919 (107 yrs old)
Oyo Rooms,3.1,Internet | Mumbai +121 other locations,14.4k,127,2012 (14 yrs old)
Pidilite Industries,4.2,Chemicals | Mumbai +312 other locations,11.4k,3,
Alembic Pharmaceuticals,3.9,Pharma | Mumbai +187 other locations,15.3k,72,1907 (119 yrs old)
Reliance Communications,4.0,Telecom | Mumbai +467 other locations,9.6k,,2002 (24 yrs old)
Bank of America,4.1,Banking | Mumbai +35 other locations,28.1k,,1998 (28 yrs old)
Carelon Global Solutions,3.9,IT Services & Consulting | Mumbai +21 other locations,26.6k,19,10k-50k
Publicis Sapient,3.4,IT Services & Consulting | Mumbai +46 other locations,30.9k,254,
PVR INOX,3.9,Media & Entertainment | Mumbai +150 other locations,,,
Viatris,4.1,Pharma | Mumbai +80 other locations,14.2k,4,
Subros,3.8,Auto Components | Mumbai +88 other locations,12.5k,1,1985 (41 yrs old)
American Express,4.1,Financial Services | Mumbai +53 other locations,24.4k,149,1850 (176 yrs old)
XpressBees,4.2,Logistics | Mumbai +474 other locations,8.2k,10,2015 (11 yrs old)
Automatic Data Processing (ADP),3.9,Software Product | Mumbai +40 other locations,,,
PNB MetLife,3.4,Insurance | Mumbai +423 other locations,8k,15,2001 (25 yrs old)
Kyndryl,3.9,IT Services & Consulting | Mumbai +37 other locations,26.1k,35,
Escorts Kubota Limited,4.1,Automobile | Mumbai +155 other locations,13.3k,3,
Aditya Birla Sun Life Insurance,4.0,Insurance | Mumbai +488 other locations,9.9k,,2000 (26 yrs old)
Grasim Industries,4.0,Building Material | Mumbai +241 other locations,12.7k,4,1947 (79 yrs old)
Aditya Birla Capital,3.8,NBFC | Mumbai +338 other locations,14.3k,3,2017 (9 yrs old)
Maersk,4.0,Logistics | Mumbai +49 other locations,18.9k,32,
Synechron,3.5,IT Services & Consulting | Mumbai +32 other locations,27.9k,61,2001 (25 yrs old)
Glenmark Pharmaceuticals,3.8,Pharma | Mumbai +184 other locations,12.1k,125,1977 (49 yrs old)
Birlasoft,3.5,IT Services & Consulting | Mumbai +50 other locations,29.7k,475,1995 (31 yrs old)
Dabur,3.8,FMCG | Mumbai +320 other locations,8.8k,22,1884 (142 yrs old)
Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances | Mumbai +165 other locations,,,
Samvardhana Motherson Group,3.7,Auto Components | Mumbai +93 other locations,12k,11,1986 (40 yrs old)
Altruist Technologies,4.4,BPO | Mumbai +45 other locations,8.2k,8,2005 (21 yrs old)
Cogent E Services,3.2,BPO | Mumbai +55 other locations,10.3k,1,2004 (22 yrs old)
Sodexo,4.0,Facility Management Services | Mumbai +156 other locations,9.7k,1.1k,1966 (60 yrs old)
JK Cement,4.0,Building Material | Mumbai +327 other locations,9.8k,1,1975 (51 yrs old)
