company_name,rating,bio,salary,job,founded_in,field,other,city
KPMG India,3.4,Management Consulting | Noida +111 other locations,64700.0,63.0,1993 (33 yrs old),Management Consulting,Noida +111 other locations,noida
ITC,3.9,FMCG | Noida +375 other locations,24400.0,77.0,1910 (116 yrs old),FMCG,Noida +375 other locations,noida
Axis Max Life Insurance,4.0,Insurance | Noida +494 other locations,20000.0,143.0,2000 (26 yrs old),Insurance,Noida +494 other locations,noida
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Noida +405 other locations,23700.0,77.5,,Engineering & Construction,Noida +405 other locations,noida
Tata Projects,4.2,Engineering & Construction | Noida +285 other locations,22100.0,29.0,,Engineering & Construction,Noida +285 other locations,noida
Coforge,3.2,IT Services & Consulting | Noida +104 other locations,48500.0,128.0,,IT Services & Consulting,Noida +104 other locations,noida
FIS,3.8,FinTech | Noida +61 other locations,38700.0,122.0,,FinTech,Noida +61 other locations,noida
L&T Technology Services,3.1,IT Services & Consulting | Noida +93 other locations,23700.0,77.5,,IT Services & Consulting,Noida +93 other locations,noida
Bajaj Life Insurance,3.9,Insurance | Noida +607 other locations,23700.0,77.5,,Insurance,Noida +607 other locations,noida
Cholamandalam Investment & Finance,3.8,Financial Services | Noida +840 other locations,23700.0,77.5,,Financial Services,Noida +840 other locations,noida
IIFL Finance,4.0,NBFC | Noida +801 other locations,14200.0,73.0,1995 (31 yrs old),NBFC,Noida +801 other locations,noida
Oracle,3.5,Software Product | Noida +56 other locations,62500.0,1200.0,1977 (49 yrs old),Software Product,Noida +56 other locations,noida
Indian Army,4.7,Defence & Aerospace | Noida +364 other locations,9600.0,77.5,1895 (131 yrs old),Defence & Aerospace,Noida +364 other locations,noida
Muthoot Finance,3.7,NBFC | Noida +783 other locations,13000.0,93.0,,NBFC,Noida +783 other locations,noida
JLL,4.1,Real Estate | Noida +85 other locations,24200.0,241.0,1999 (27 yrs old),Real Estate,Noida +85 other locations,noida
eClerx,3.1,IT Services & Consulting | Noida +32 other locations,31700.0,233.0,2000 (26 yrs old),IT Services & Consulting,Noida +32 other locations,noida
HCL Group,3.5,IT Services & Consulting | Noida +97 other locations,370000.0,165.0,,IT Services & Consulting,Noida +97 other locations,noida
Piramal Finance,4.2,NBFC | Noida +424 other locations,12700.0,5.0,10k-50k,NBFC,Noida +424 other locations,noida
Virtusa Consulting Services,3.7,IT Services & Consulting | Noida +55 other locations,56300.0,1300.0,1996 (30 yrs old),IT Services & Consulting,Noida +55 other locations,noida
DMart,3.9,Retail | Noida +246 other locations,18500.0,177.0,2002 (24 yrs old),Retail,Noida +246 other locations,noida
HSBC Group,3.9,Financial Services | Noida +63 other locations,42600.0,130.0,1865 (161 yrs old),Financial Services,Noida +63 other locations,noida
Indiamart Intermesh,3.5,Internet | Noida +173 other locations,20000.0,532.0,1996 (30 yrs old),Internet,Noida +173 other locations,noida
Udaan,3.9,Internet | Noida +368 other locations,15600.0,5.0,,Internet,Noida +368 other locations,noida
SMFG India Credit,3.9,NBFC | Noida +594 other locations,11000.0,81.0,2007 (19 yrs old),NBFC,Noida +594 other locations,noida
Access Healthcare,3.7,BPO | Noida +64 other locations,28400.0,503.0,2011 (15 yrs old),BPO,Noida +64 other locations,noida
Siemens,3.9,Industrial Automation | Noida +152 other locations,33500.0,134.0,,Industrial Automation,Noida +152 other locations,noida
BigBasket,3.9,Internet | Noida +138 other locations,19100.0,104.0,,Internet,Noida +138 other locations,noida
Manappuram Finance,3.9,NBFC | Noida +649 other locations,9100.0,6.0,1949 (77 yrs old),NBFC,Noida +649 other locations,noida
Firstsource Solutions,3.5,BPO | Noida +74 other locations,24000.0,139.0,2001 (25 yrs old),BPO,Noida +74 other locations,noida
Shapoorji Pallonji Group,4.1,Engineering & Construction | Noida +188 other locations,23700.0,77.5,,Engineering & Construction,Noida +188 other locations,noida
Tata Capital,4.0,NBFC | Noida +438 other locations,15700.0,3100.0,2007 (19 yrs old),NBFC,Noida +438 other locations,noida
GlobalLogic,3.5,IT Services & Consulting | Noida +60 other locations,40500.0,46.0,2000 (26 yrs old),IT Services & Consulting,Noida +60 other locations,noida
ICICI Lombard General Insurance Company,3.5,Insurance | Noida +311 other locations,23700.0,77.5,,Insurance,Noida +311 other locations,noida
Standard Chartered,3.6,Banking | Noida +68 other locations,42000.0,77.5,1853 (173 yrs old),Banking,Noida +68 other locations,noida
